IHC,false,false,false,false,false,false,false,false,false,false,
IHC,94500,94500,94500,94500,94500,94500,94500,94500,94500,94500,
ES,true,true,true,true,true,true,true,true,true,true,
ES,44100,42700,35700,39900,51100,41650,38850,49700,48650,47250,
GA,false,true,false,false,true,false,false,false,false,false,
GA,94500,79450,94500,94500,62300,94500,94500,94500,94500,94500,
HGA,true,false,false,false,false,false,false,false,false,false,
HGA,73350,94500,94500,94500,94500,94500,94500,94500,94500,94500,
